agent,trial,episode,cumulativeReward,averageReward,cumulativeSteps,numSteps
Q = 100,3,37,-13903.0,0.052083333333333336,17741.0,96.0
Q = 100,3,38,-13938.0,-0.25735294117647056,17877.0,136.0
Q = 100,3,39,-13943.0,-0.04716981132075472,17983.0,106.0
Q = 100,3,40,-13917.0,0.3466666666666667,18058.0,75.0
Q = 100,3,41,-13849.0,2.0606060606060606,18091.0,33.0
Q = 100,3,42,-13817.0,0.463768115942029,18160.0,69.0
Q = 100,3,43,-13777.0,0.6557377049180327,18221.0,61.0
Q = 100,3,44,-13725.0,1.0612244897959184,18270.0,49.0
Q = 100,3,45,-13674.0,1.02,18320.0,50.0
Q = 100,3,46,-13603.0,2.3666666666666667,18350.0,30.0
Q = 100,3,47,-13537.0,1.8857142857142857,18385.0,35.0
Q = 100,3,48,-13491.0,0.8363636363636363,18440.0,55.0
Q = 100,3,49,-13429.0,1.5897435897435896,18479.0,39.0
Q = 100,3,50,-13398.0,0.44285714285714284,18549.0,70.0
Q = 100,3,51,-13321.0,3.2083333333333335,18573.0,24.0
Q = 100,3,52,-13272.0,0.9423076923076923,18625.0,52.0
Q = 100,3,53,-13249.0,0.2948717948717949,18703.0,78.0
Q = 100,3,54,-13197.0,1.0612244897959184,18752.0,49.0
Q = 100,3,55,-13146.0,1.02,18802.0,50.0
Q = 100,3,56,-13083.0,1.6578947368421053,18840.0,38.0
Q = 100,3,57,-13036.0,0.8703703703703703,18894.0,54.0
Q = 100,3,58,-12988.0,0.9056603773584906,18947.0,53.0
Q = 100,3,59,-13028.0,-0.28368794326241137,19088.0,141.0
Q = 100,3,60,-13034.0,-0.056074766355140186,19195.0,107.0
Q = 100,3,61,-12991.0,0.7413793103448276,19253.0,58.0
Q = 100,3,62,-12987.0,0.041237113402061855,19350.0,97.0
Q = 100,3,63,-12937.0,0.9803921568627451,19401.0,51.0
Q = 100,3,64,-12870.0,1.9705882352941178,19435.0,34.0
Q = 100,3,65,-12944.0,-0.4228571428571429,19610.0,175.0
Q = 100,3,66,-12884.0,1.4634146341463414,19651.0,41.0
Q = 100,3,67,-12829.0,1.1956521739130435,19697.0,46.0
Q = 100,3,68,-12838.0,-0.08181818181818182,19807.0,110.0
Q = 100,3,69,-12784.0,1.148936170212766,19854.0,47.0
Q = 100,3,70,-12757.0,0.36486486486486486,19928.0,74.0
Q = 100,3,71,-12684.0,2.607142857142857,19956.0,28.0
Q = 100,3,72,-12607.0,3.2083333333333335,19980.0,24.0
Q = 100,3,73,-12544.0,1.6578947368421053,20018.0,38.0
Q = 100,3,74,-12557.0,-0.11403508771929824,20132.0,114.0
Q = 100,3,75,-12492.0,1.8055555555555556,20168.0,36.0
Q = 100,3,76,-12415.0,3.2083333333333335,20192.0,24.0
Q = 100,3,77,-12343.0,2.4827586206896552,20221.0,29.0
Q = 100,3,78,-12285.0,1.3488372093023255,20264.0,43.0
Q = 100,3,79,-12226.0,1.4047619047619047,20306.0,42.0
Q = 100,3,80,-12171.0,1.1956521739130435,20352.0,46.0
Q = 100,3,81,-12111.0,1.4634146341463414,20393.0,41.0
Q = 100,3,82,-12044.0,1.9705882352941178,20427.0,34.0
Q = 100,3,83,-11994.0,0.9803921568627451,20478.0,51.0
Q = 100,3,84,-11923.0,2.3666666666666667,20508.0,30.0
Q = 100,3,85,-11872.0,1.02,20558.0,50.0
Q = 100,3,86,-11810.0,1.5897435897435896,20597.0,39.0
Q = 100,3,87,-11738.0,2.4827586206896552,20626.0,29.0
Q = 100,3,88,-11681.0,1.2954545454545454,20670.0,44.0
Q = 100,3,89,-11639.0,0.711864406779661,20729.0,59.0
Q = 100,3,90,-11568.0,2.3666666666666667,20759.0,30.0
Q = 100,3,91,-11505.0,1.6578947368421053,20797.0,38.0
Q = 100,3,92,-11438.0,1.9705882352941178,20831.0,34.0
Q = 100,3,93,-11376.0,1.5897435897435896,20870.0,39.0
Q = 100,3,94,-11331.0,0.8035714285714286,20926.0,56.0
Q = 100,3,95,-11274.0,1.2954545454545454,20970.0,44.0
Q = 100,3,96,-11208.0,1.8857142857142857,21005.0,35.0
Q = 100,3,97,-11139.0,2.15625,21037.0,32.0
Q = 100,3,98,-11076.0,1.6578947368421053,21075.0,38.0
Q = 100,3,99,-11040.0,0.5538461538461539,21140.0,65.0
Q = 100,4,0,-104.0,-0.5073170731707317,205.0,205.0
Q = 100,4,1,-875.0,-0.8841743119266054,1077.0,872.0
Q = 100,4,2,-1416.0,-0.8426791277258567,1719.0,642.0
Q = 100,4,3,-3322.0,-0.9496761335326358,3726.0,2007.0
Q = 100,4,4,-3701.0,-0.7895833333333333,4206.0,480.0
Q = 100,4,5,-4457.0,-0.882147024504084,5063.0,857.0
